id,batch_id,event_type,target_temperature_c,target_stirrer_rpm,target_shake_speed_cpm,reason,created_at,previous_hash,event_hash
13864,,modbus_register_write,67,360,32,Vue Modbus debug acceptance,2026-06-05T23:12:39.528739800+00:00,f1e135c8b7f4bf1ffb6fa3d6b1c10edca6ba428cf87aaa07f80ed90cec9d6701,b6d6134be227db656fb007c29e4ad823f137cf72ffd38a3e16f09a3186fb5c7c
13863,,operator_targets_updated,66,360,32,operator changed desired targets; values clamped to configured safety limits,2026-06-05T22:59:26.632453300+00:00,977924a8fd11be9ea2df61f099a15682009b8a815700198aacff7fd7fbff4415,f1e135c8b7f4bf1ffb6fa3d6b1c10edca6ba428cf87aaa07f80ed90cec9d6701
13862,,operator_targets_updated,66,360,32,operator changed desired targets; values clamped to configured safety limits,2026-06-05T22:56:16.956219800+00:00,954e807e35a0f3f62a2583729ea4607160312d995b9a939092c3eb78282dd120,977924a8fd11be9ea2df61f099a15682009b8a815700198aacff7fd7fbff4415
13861,,operator_targets_updated,66,360,32,operator changed desired targets; values clamped to configured safety limits,2026-06-05T22:55:03.533663+00:00,9fdb31e6273c89fea091702bd561539ab3cefd74871b1ab933ec5e5e3f4f3851,954e807e35a0f3f62a2583729ea4607160312d995b9a939092c3eb78282dd120
13860,,ainas_targets_updated,60,300,30,live validation,2026-06-03T14:45:06.138854700+00:00,46223284f824433640428c43d15fbcdc0586e0816bdee06e763ae7baf352432e,9fdb31e6273c89fea091702bd561539ab3cefd74871b1ab933ec5e5e3f4f3851
13859,,modbus_register_write,60,300,30,rbac verification,2026-06-03T13:05:43.541711600+00:00,,46223284f824433640428c43d15fbcdc0586e0816bdee06e763ae7baf352432e
13858,,emergency_stop,,,,operator triggered emergency stop; automatic control disabled,2026-06-02T00:04:49.187476300+00:00,,
13857,,emergency_stop,,,,operator triggered emergency stop; automatic control disabled,2026-06-02T00:04:48.196794+00:00,,
13856,,emergency_stop,,,,operator triggered emergency stop; automatic control disabled,2026-06-02T00:04:43.415881300+00:00,,
13855,,demo_seed_applied,,,,已载入工艺、历史批次结果与 AI 推荐上下文（不含传感器样本）,2026-06-01T11:56:18.042278500+00:00,,
13854,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:41.790595071+00:00,,
13853,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:39.753336784+00:00,,
13852,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:37.705029227+00:00,,
13851,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:35.663402655+00:00,,
13850,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:33.615745540+00:00,,
13849,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:31.573161951+00:00,,
13848,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:29.531236994+00:00,,
13847,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:26.924368523+00:00,,
13846,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:24.517563539+00:00,,
13845,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:22.469105693+00:00,,
13844,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:20.425218174+00:00,,
13843,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:18.388193512+00:00,,
13842,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:16.346219283+00:00,,
13841,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:14.303968629+00:00,,
13840,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:12.254919328+00:00,,
13839,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:10.205741820+00:00,,
13838,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:08.170656645+00:00,,
13837,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:06.042799696+00:00,,
13836,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:03.852492193+00:00,,
13835,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:01:01.810573653+00:00,,
13834,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:59.768915724+00:00,,
13833,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:57.722772746+00:00,,
13832,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:55.679867353+00:00,,
13831,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:53.630986705+00:00,,
13830,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:51.588015523+00:00,,
13829,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:49.547297449+00:00,,
13828,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:47.504913890+00:00,,
13827,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:45.463574761+00:00,,
13826,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:43.419817382+00:00,,
13825,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:41.382614951+00:00,,
13824,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:39.341008500+00:00,,
13823,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:37.293807669+00:00,,
13822,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:35.256212552+00:00,,
13821,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:33.207675196+00:00,,
13820,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:31.165177388+00:00,,
13819,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:29.123153565+00:00,,
13818,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:27.081974386+00:00,,
13817,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:25.044548662+00:00,,
13816,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:23.007433313+00:00,,
13815,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:20.970687759+00:00,,
13814,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:18.929245668+00:00,,
13813,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:16.888518706+00:00,,
13812,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:14.839124460+00:00,,
13811,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:12.797020500+00:00,,
13810,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:10.756771710+00:00,,
13809,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:08.713118728+00:00,,
13808,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:06.671481679+00:00,,
13807,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:04.639669852+00:00,,
13806,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:02.602429556+00:00,,
13805,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:00.560656392+00:00,,
13804,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:58.519121649+00:00,,
13803,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:56.482418871+00:00,,
13802,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:54.389557205+00:00,,
13801,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:52.349280535+00:00,,
13800,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:50.312340064+00:00,,
13799,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:48.257787034+00:00,,
13798,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:46.216358105+00:00,,
13797,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:44.172593139+00:00,,
13796,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:42.142625664+00:00,,
13795,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:40.099813984+00:00,,
13794,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:38.058180497+00:00,,
13793,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:36.021510883+00:00,,
13792,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:33.978163676+00:00,,
13791,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:31.936344352+00:00,,
13790,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:29.899373683+00:00,,
